year,month,time,price,wprice,pop
2014,1,11:29:00,72600,,41946 
2014,1,11:29:01,72600,,41946 
2014,1,11:29:02,72600,,41946 
2014,1,11:29:03,72600,,41946 
2014,1,11:29:04,72600,,41946 
2014,1,11:29:05,72600,,41946 
2014,1,11:29:06,72600,,41946 
2014,1,11:29:07,72600,,41946 
2014,1,11:29:08,72600,,41946 
2014,1,11:29:09,72600,,41946 
2014,1,11:29:10,72600,,41946 
2014,1,11:29:11,72600,,41946 
2014,1,11:29:12,72600,,41946 
2014,1,11:29:13,72600,,41946 
2014,1,11:29:14,72600,,41946 
2014,1,11:29:15,72600,,41946 
2014,1,11:29:16,72600,,41946 
2014,1,11:29:17,72600,,41946 
2014,1,11:29:18,72600,,41946 
2014,1,11:29:19,72600,,41946 
2014,1,11:29:20,72600,,41946 
2014,1,11:29:21,72600,,41946 
2014,1,11:29:22,72600,,41946 
2014,1,11:29:23,72600,,41946 
2014,1,11:29:24,72600,,41946 
2014,1,11:29:25,72600,,41946 
2014,1,11:29:26,72600,,41946 
2014,1,11:29:27,72600,,41946 
2014,1,11:29:28,72600,,41946 
2014,1,11:29:29,72600,,41946 
2014,1,11:29:30,72600,,41946 
2014,1,11:29:31,72700,,41946 
2014,1,11:29:32,72800,,41946 
2014,1,11:29:33,72900,,41946 
2014,1,11:29:34,72900,,41946 
2014,1,11:29:35,72900,,41946 
2014,1,11:29:36,72900,,41946 
2014,1,11:29:37,72900,,41946 
2014,1,11:29:38,72900,,41946 
2014,1,11:29:39,72900,,41946 
2014,1,11:29:40,72900,,41946 
2014,1,11:29:41,72900,,41946 
2014,1,11:29:42,72900,,41946 
2014,1,11:29:43,72900,,41946 
2014,1,11:29:44,72900,,41946 
2014,1,11:29:45,72900,,41946 
2014,1,11:29:46,72900,,41946 
2014,1,11:29:47,73000,,41946 
2014,1,11:29:48,73100,,41946 
2014,1,11:29:49,73200,,41946 
2014,1,11:29:50,73200,,41946 
2014,1,11:29:51,73200,,41946 
2014,1,11:29:52,73200,,41946 
2014,1,11:29:53,73200,,41946 
2014,1,11:29:54,73200,,41946 
2014,1,11:29:55,73200,,41946 
2014,1,11:29:56,73200,,41946 
2014,1,11:29:57,73400,,41946 
2014,1,11:29:58,73500,,41946 
2014,1,11:29:59,73500,,41946 
2014,2,11:29:00,72600,,45758 
2014,2,11:29:01,72600,,45758 
2014,2,11:29:02,72600,,45758 
2014,2,11:29:03,72600,,45758 
2014,2,11:29:04,72600,,45758 
2014,2,11:29:05,72600,,45758 
2014,2,11:29:06,72600,,45758 
2014,2,11:29:07,72600,,45758 
2014,2,11:29:08,72600,,45758 
2014,2,11:29:09,72600,,45758 
2014,2,11:29:10,72600,,45758 
2014,2,11:29:11,72600,,45758 
2014,2,11:29:12,72600,,45758 
2014,2,11:29:13,72600,,45758 
2014,2,11:29:14,72600,,45758 
2014,2,11:29:15,72600,,45758 
2014,2,11:29:16,72600,,45758 
2014,2,11:29:17,72600,,45758 
2014,2,11:29:18,72600,,45758 
2014,2,11:29:19,72600,,45758 
2014,2,11:29:20,72600,,45758 
2014,2,11:29:21,72600,,45758 
2014,2,11:29:22,72600,,45758 
2014,2,11:29:23,72600,,45758 
2014,2,11:29:24,72600,,45758 
2014,2,11:29:25,72600,,45758 
2014,2,11:29:26,72600,,45758 
2014,2,11:29:27,72600,,45758 
2014,2,11:29:28,72700,,45758 
2014,2,11:29:29,72800,,45758 
2014,2,11:29:30,72900,,45758 
2014,2,11:29:31,72900,,45758 
2014,2,11:29:32,72900,,45758 
2014,2,11:29:33,72900,,45758 
2014,2,11:29:34,72900,,45758 
2014,2,11:29:35,72900,,45758 
2014,2,11:29:36,72900,,45758 
2014,2,11:29:37,72900,,45758 
2014,2,11:29:38,72900,,45758 
2014,2,11:29:39,72900,,45758 
2014,2,11:29:40,72900,,45758 
2014,2,11:29:41,72900,,45758 
2014,2,11:29:42,72900,,45758 
2014,2,11:29:43,72900,,45758 
2014,2,11:29:44,72900,,45758 
2014,2,11:29:45,72900,,45758 
2014,2,11:29:46,72900,,45758 
2014,2,11:29:47,72900,,45758 
2014,2,11:29:48,72900,,45758 
2014,2,11:29:49,72900,,45758 
2014,2,11:29:50,72900,,45758 
2014,2,11:29:51,72900,,45758 
2014,2,11:29:52,72900,,45758 
2014,2,11:29:53,73100,,45758 
2014,2,11:29:54,73200,,45758 
2014,2,11:29:55,73200,,45758 
2014,2,11:29:56,73200,,45758 
2014,2,11:29:57,73200,,45758 
2014,2,11:29:58,73200,,45758 
2014,2,11:29:59,73200,,45758 
2014,3,11:29:00,72900,,61853 
2014,3,11:29:01,72900,,61853 
2014,3,11:29:02,72900,,61853 
2014,3,11:29:03,72900,,61853 
2014,3,11:29:04,72900,,61853 
2014,3,11:29:05,72900,,61853 
2014,3,11:29:06,72900,,61853 
2014,3,11:29:07,72900,,61853 
2014,3,11:29:08,72900,,61853 
2014,3,11:29:09,72900,,61853 
2014,3,11:29:10,72900,,61853 
